,city,max_checkins,locations,total_checkins,UHS,latitude,longitude,text,city_without_state,city_y,population,text2
126,"O'Fallon, Missouri",141241,332,488751,84.83031236764734,38.81061,-90.69985,UHS : 84.83031236764734<br>Checkins :0.488751 million<br>Locations : 332,O'Fallon,O'Fallon,0.082809,"City : O'Fallon, Missouri<br>UHS : 84.83031236764734<br>Population :0.082809 million"
127,"Lawton, Oklahoma",330750,321,703502,84.82122296738318,34.60869,-98.39033,UHS : 84.82122296738318<br>Checkins :0.703502 million<br>Locations : 321,Lawton,Lawton,0.097151,"City : Lawton, Oklahoma<br>UHS : 84.82122296738318<br>Population :0.097151 million"
128,"Rapid City, South Dakota",470734,313,1056941,84.76452327991818,44.08054,-103.23101,UHS : 84.76452327991818<br>Checkins :1.056941 million<br>Locations : 313,Rapid City,Rapid City,0.070812,"City : Rapid City, South Dakota<br>UHS : 84.76452327991818<br>Population :0.070812 million"
129,"Madison, Wisconsin",1726703,320,5094708,84.74540640994537,43.07305,-89.40123,UHS : 84.74540640994537<br>Checkins :5.094708 million<br>Locations : 320,Madison,Madison,0.243344,"City : Madison, Wisconsin<br>UHS : 84.74540640994537<br>Population :0.243344 million"
131,"San Marcos, California",273846,313,1093073,84.67513148710104,33.143370000000004,-117.16613999999998,UHS : 84.67513148710104<br>Checkins :1.093073 million<br>Locations : 313,San Marcos,San Marcos,0.089387,"City : San Marcos, California<br>UHS : 84.67513148710104<br>Population :0.089387 million"
133,"Carrollton, Texas",316714,290,765885,84.63777198926732,32.95373,-96.89028,UHS : 84.63777198926732<br>Checkins :0.765885 million<br>Locations : 290,Carrollton,Carrollton,0.1267,"City : Carrollton, Texas<br>UHS : 84.63777198926732<br>Population :0.1267 million"
134,"Compton, California",581393,327,1158947,84.5782421456719,33.89585,-118.22006999999999,UHS : 84.5782421456719<br>Checkins :1.158947 million<br>Locations : 327,Compton,Compton,0.097877,"City : Compton, California<br>UHS : 84.5782421456719<br>Population :0.097877 million"
135,"St. George, Utah",509689,421,1117557,84.50083530415003,17.71775,-64.83041999999999,UHS : 84.50083530415003<br>Checkins :1.117557 million<br>Locations : 421,St. George,St. George,0.076817,"City : St. George, Utah<br>UHS : 84.50083530415003<br>Population :0.076817 million"
136,"Menifee, California",88385,343,587127,84.49705089358861,37.94138,-83.59886999999999,UHS : 84.49705089358861<br>Checkins :0.587127 million<br>Locations : 343,Menifee,Menifee,0.083447,"City : Menifee, California<br>UHS : 84.49705089358861<br>Population :0.083447 million"
137,"Phoenix, Arizona",5377320,342,12923139,84.47141209268119,33.44838,-112.07404,UHS : 84.47141209268119<br>Checkins :12.923139 million<br>Locations : 342,Phoenix,Phoenix,1.513367,"City : Phoenix, Arizona<br>UHS : 84.47141209268119<br>Population :1.513367 million"
138,"Deerfield Beach, Florida",460797,295,1075436,84.42789715055103,26.318409999999997,-80.09976999999999,UHS : 84.42789715055103<br>Checkins :1.075436 million<br>Locations : 295,Deerfield Beach,Deerfield Beach,0.078041,"City : Deerfield Beach, Florida<br>UHS : 84.42789715055103<br>Population :0.078041 million"
139,"Flint, Michigan",420573,303,1054975,84.39726059859238,43.01253,-83.68746,UHS : 84.39726059859238<br>Checkins :1.054975 million<br>Locations : 303,Flint,Flint,0.099763,"City : Flint, Michigan<br>UHS : 84.39726059859238<br>Population :0.099763 million"
140,"Jackson, Mississippi",776125,304,1689688,84.31473739530611,32.298759999999994,-90.18481,UHS : 84.31473739530611<br>Checkins :1.689688 million<br>Locations : 304,Jackson,Jackson,0.172638,"City : Jackson, Mississippi<br>UHS : 84.31473739530611<br>Population :0.172638 million"
142,"Billings, Montana",490357,346,1018045,84.20757432137086,45.78329,-108.50068999999999,UHS : 84.20757432137086<br>Checkins :1.018045 million<br>Locations : 346,Billings,Billings,0.109059,"City : Billings, Montana<br>UHS : 84.20757432137086<br>Population :0.109059 million"
143,"Meridian, Idaho",228647,327,503429,84.19896350826035,32.364309999999996,-88.70366,UHS : 84.19896350826035<br>Checkins :0.503429 million<br>Locations : 327,Meridian,Meridian,0.083596,"City : Meridian, Idaho<br>UHS : 84.19896350826035<br>Population :0.083596 million"
145,"Long Beach, California",2927233,352,8892877,84.12051577908926,33.76696,-118.18923000000001,UHS : 84.12051577908926<br>Checkins :8.892877 million<br>Locations : 352,Long Beach,Long Beach,0.469428,"City : Long Beach, California<br>UHS : 84.12051577908926<br>Population :0.469428 million"
146,"Hartford, Connecticut",696804,343,3138189,84.01049140125085,41.763709999999996,-72.68509,UHS : 84.01049140125085<br>Checkins :3.138189 million<br>Locations : 343,Hartford,Hartford,0.125017,"City : Hartford, Connecticut<br>UHS : 84.01049140125085<br>Population :0.125017 million"
147,"Surprise, Arizona",331258,309,943880,84.01004364961648,33.630590000000005,-112.33322,UHS : 84.01004364961648<br>Checkins :0.94388 million<br>Locations : 309,Surprise,Surprise,0.123546,"City : Surprise, Arizona<br>UHS : 84.01004364961648<br>Population :0.123546 million"
148,"Canton, Ohio",322234,299,823714,84.00439958529296,40.79895,-81.37845,UHS : 84.00439958529296<br>Checkins :0.823714 million<br>Locations : 299,Canton,Canton,0.072535,"City : Canton, Ohio<br>UHS : 84.00439958529296<br>Population :0.072535 million"
149,"Lewisville, Texas",305306,355,900014,83.97636036772761,33.04623,-96.99417,UHS : 83.97636036772761<br>Checkins :0.900014 million<br>Locations : 355,Lewisville,Lewisville,0.101074,"City : Lewisville, Texas<br>UHS : 83.97636036772761<br>Population :0.101074 million"
