1952-0.txt        NaN       NaN       NaN       NaN       NaN       NaN   
pg16328.txt       NaN       NaN  0.000068  0.000023  0.000023  0.000045   

                   79       7th         8        80       801       809  \
11-0.txt          NaN       NaN  0.000034       NaN  0.000034  0.000034   
84-0.txt          NaN  0.000038  0.000038       NaN  0.000013  0.000013   
1342-0.txt        NaN       NaN  0.000016       NaN  0.000008  0.000008   
1661-0.txt        NaN  0.000009  0.000028       NaN  0.000009  0.000009   
1952-0.txt        NaN       NaN  0.000108       NaN  0.000108  0.000108   
pg16328.txt  0.000023       NaN  0.000361  0.000316  0.000023  0.000023   

                   81        82        83        84     84116        85  \
11-0.txt          NaN       NaN       NaN       NaN  0.000034       NaN   
84-0.txt          NaN       NaN       NaN  0.000038  0.000013       NaN   
1342-0.txt        NaN       NaN       NaN       NaN  0.000008       NaN   
1661-0.txt        NaN  0.000009  0.000018  0.000018  0.000009  0.000028   
1952-0.txt        NaN       NaN       NaN       NaN  0.000108       NaN   
pg16328.txt  0.000045  0.000045  0.000068  0.000023  0.000023  0.000248   

                   86        87       876        88        89      8txt  \
11-0.txt          NaN       NaN       NaN       NaN       NaN       NaN   
84-0.txt          NaN       NaN       NaN       NaN       NaN       NaN   
1342-0.txt        NaN       NaN       NaN       NaN       NaN       NaN   
1661-0.txt        NaN  0.000009       NaN  0.000009  0.000018       NaN   
1952-0.txt        NaN       NaN       NaN       NaN       NaN       NaN   
pg16328.txt  0.000045  0.000068  0.000023  0.000045  0.000045  0.000023   

                 8zip         9        90        91        92        93  \
11-0.txt          NaN       NaN  0.000067       NaN       NaN       NaN   
84-0.txt          NaN  0.000026  0.000026       NaN       NaN       NaN   
1342-0.txt        NaN  0.000008  0.000016       NaN       NaN       NaN   
1661-0.txt        NaN  0.000009  0.000028       NaN       NaN       NaN   
1952-0.txt        NaN       NaN  0.000216       NaN       NaN       NaN   
pg16328.txt  0.000023  0.000451  0.000203  0.000045  0.000023  0.000045   

                   94        95        96        97        98        99  \
11-0.txt          NaN       NaN       NaN       NaN       NaN       NaN   
84-0.txt          NaN       NaN       NaN       NaN       NaN       NaN   
1342-0.txt        NaN       NaN       NaN       NaN       NaN       NaN   
1661-0.txt        NaN       NaN       NaN       NaN       NaN       NaN   
1952-0.txt        NaN       NaN       NaN       NaN       NaN       NaN   
pg16328.txt  0.000023  0.000135  0.000023  0.000113  0.000023  0.000045   

                99712     99775       9th         a   abandon  abandoned  \
11-0.txt     0.000034       NaN       NaN  0.023149       NaN        NaN   
